Team,Last10Wins,Last10Losses,WinStreak,Last10MarginAvg,MomentumScore
Duke,10.0,0.0,11,18.6,0.9803
Siena,,,0,,
Connecticut,7.0,3.0,-1,6.8,0.7076
Furman,6.0,4.0,3,3.8,0.6097
Michigan State,6.0,4.0,-2,1.3,0.5839
North Dakota State,8.0,2.0,4,11.6,0.812
Kansas,5.0,5.0,-1,-3.6,0.4623
California Baptist,8.0,2.0,6,8.4,0.7906
St. John's (NY),9.0,1.0,6,9.8,0.8707
Northern Iowa,6.0,4.0,-1,3.7,0.6087
Louisville,6.0,4.0,-1,6.8,0.6376
South Florida,10.0,0.0,11,15.1,0.9689
UCLA,6.0,4.0,-1,1.3,0.5839
UCF,4.0,6.0,-1,-4.5,0.3834
Ohio State,6.0,4.0,-1,4.9,0.6205
TCU,8.0,2.0,-1,4.6,0.7576
Arizona,9.0,1.0,9,9.6,0.8693
LIU,4.0,6.0,-2,-0.8,0.4214
Purdue,6.0,4.0,4,5.2,0.6233
Penn,9.0,1.0,5,6.1,0.8415
Gonzaga,8.0,2.0,2,13.1,0.82
Kennesaw State,0.0,1.0,-1,-37.0,0.0015
Arkansas,8.0,2.0,5,4.1,0.7527
Hawaii,7.0,3.0,2,2.1,0.6623
Wisconsin,7.0,3.0,-1,6.0,0.7006
High Point,10.0,0.0,14,15.9,0.9719
BYU,5.0,5.0,-1,-0.3,0.4968
Texas,5.0,5.0,-3,-1.1,0.4882
NC State,3.0,7.0,-1,-7.1,0.2898
Saint Mary's (CA),8.0,2.0,-1,12.6,0.8174
Missouri,5.0,5.0,-3,-0.2,0.4979
Villanova,7.0,3.0,-1,0.9,0.6496
Utah State,7.0,3.0,4,4.9,0.6905
Michigan,8.0,2.0,-1,7.2,0.781
UMBC,10.0,0.0,12,18.2,0.9793
Howard,9.0,1.0,8,19.0,0.9114
Iowa State,6.0,4.0,-1,9.2,0.6565
Tennessee State,6.0,4.0,-2,2.5,0.5965
Virginia,8.0,2.0,-1,7.0,0.7793
Wright State,8.0,2.0,5,6.3,0.7733
Alabama,8.0,2.0,-1,7.4,0.7826
Hofstra,,,0,,
Texas Tech,6.0,4.0,-3,5.2,0.6233
Akron,10.0,0.0,10,13.8,0.9633
Tennessee,6.0,4.0,-1,5.8,0.6288
Miami (OH),9.0,1.0,-1,6.9,0.8485
SMU,4.0,6.0,-1,0.9,0.4396
Kentucky,4.0,6.0,-1,-1.0,0.4193
Santa Clara,8.0,2.0,-1,4.6,0.7576
Georgia,6.0,4.0,-1,1.8,0.5892
Saint Louis,6.0,4.0,-1,5.0,0.6214
Florida,9.0,1.0,-1,14.1,0.8947
Prairie View,,,0,,
Lehigh,,,0,,
Houston,6.0,4.0,-1,7.5,0.6435
Idaho,8.0,2.0,5,9.2,0.7965
Illinois,5.0,5.0,-1,10.5,0.5953
Queens (NC),,,0,,
Nebraska,6.0,4.0,-1,4.7,0.6185
Troy,7.0,3.0,4,5.3,0.6942
Vanderbilt,6.0,4.0,-1,2.2,0.5934
McNeese,0.0,1.0,-1,-57.0,0.0001
North Carolina,6.0,4.0,-2,-0.5,0.5646
VCU,9.0,1.0,6,7.7,0.8551
Miami (FL),7.0,3.0,-1,2.8,0.6696
Texas A&M,4.0,6.0,-1,-5.3,0.3758
Clemson,4.0,6.0,-1,-3.4,0.3943
Iowa,3.0,7.0,-1,-2.5,0.3335
