Team,Games,Wins,Losses,WinPct,SRS,SOS,PtsFor,PtsAgainst,PPG,OppPPG,Pace,ORtg,FTRate,ThreePARate,TrueShooting,ReboundPct,AssistPct,TurnoverPct,Season,DefProxy
Michigan,34,31,3,0.912,32.48,14.86,2952,2353,86.8,69.2,71.3,121.3,0.377,0.418,0.612,56.2,60.7,14.4,2026,4.6
Duke,34,32,2,0.941,31.55,12.41,2798,2147,82.3,63.1,67.1,122.6,0.378,0.444,0.597,57.8,59.2,13.3,2026,10.7
Arizona,34,32,2,0.941,29.92,12.57,2929,2339,86.1,68.8,71.3,120.3,0.429,0.268,0.588,57.3,55.4,12.9,2026,5.0
Florida,33,26,7,0.788,27.9,13.11,2864,2376,86.8,72.0,72.5,119.8,0.391,0.371,0.568,59.5,54.0,13.5,2026,1.8
Iowa State,34,27,7,0.794,27.15,10.5,2781,2215,81.8,65.1,68.2,120.0,0.34,0.388,0.585,53.5,58.4,12.8,2026,8.7
Illinois,32,24,8,0.75,26.45,11.89,2700,2234,84.4,69.8,66.2,125.5,0.329,0.507,0.588,56.7,51.2,11.0,2026,4.0
Houston,34,28,6,0.824,26.23,11.93,2623,2137,77.1,62.9,64.9,118.4,0.269,0.408,0.554,52.2,52.9,10.9,2026,10.9
Purdue,35,27,8,0.771,25.64,14.13,2858,2455,81.7,70.1,65.3,124.7,0.286,0.409,0.601,55.5,66.8,11.5,2026,3.7
Gonzaga,33,30,3,0.909,25.11,5.98,2809,2178,85.1,66.0,70.4,120.5,0.311,0.31,0.585,55.4,56.7,11.7,2026,7.8
Michigan State,32,25,7,0.781,23.44,12.91,2526,2189,78.9,68.4,66.8,117.3,0.362,0.364,0.575,58.5,67.0,14.4,2026,5.4
Louisville,33,23,10,0.697,23.41,10.83,2797,2382,84.8,72.2,71.0,119.4,0.335,0.528,0.599,53.7,59.5,14.1,2026,1.6
Connecticut,34,29,5,0.853,22.92,10.53,2635,2214,77.5,65.1,66.0,116.5,0.3,0.403,0.578,54.2,65.0,14.3,2026,8.7
Vanderbilt,34,26,8,0.765,22.83,11.68,2936,2557,86.4,75.2,70.8,121.1,0.382,0.436,0.596,50.3,56.2,11.6,2026,-1.4
Alabama,32,23,9,0.719,22.7,14.45,2935,2671,91.7,83.5,74.6,122.0,0.372,0.537,0.592,50.4,53.5,11.2,2026,-9.7
Arkansas,34,26,8,0.765,22.43,12.57,3058,2723,89.9,80.1,72.4,122.5,0.364,0.334,0.597,51.1,53.0,10.7,2026,-6.3
St. John's (NY),34,28,6,0.824,22.42,10.83,2773,2379,81.6,70.0,71.0,114.5,0.419,0.338,0.552,52.9,58.2,12.4,2026,3.8
Tennessee,33,22,11,0.667,22.08,11.99,2622,2289,79.5,69.4,67.3,116.8,0.387,0.317,0.549,58.8,59.8,13.9,2026,4.4
Texas Tech,32,22,10,0.688,21.95,14.17,2573,2324,80.4,72.6,67.9,117.9,0.271,0.48,0.584,52.0,55.5,13.6,2026,1.2
Virginia,34,29,5,0.853,21.6,9.36,2742,2326,80.6,68.4,66.5,119.1,0.33,0.465,0.576,55.1,59.1,13.4,2026,5.4
Nebraska,32,26,6,0.813,21.54,10.48,2473,2119,77.3,66.2,67.3,114.0,0.272,0.507,0.581,50.2,65.6,12.8,2026,7.6
Kansas,33,23,10,0.697,21.1,14.86,2496,2290,75.6,69.4,68.2,110.0,0.326,0.357,0.555,51.5,53.3,13.5,2026,4.4
Brigham Young,34,23,11,0.676,21.04,12.45,2853,2561,83.9,75.3,70.5,118.7,0.342,0.398,0.58,52.8,45.4,13.0,2026,-1.5
Kentucky,34,21,13,0.618,19.8,12.86,2746,2510,80.8,73.8,69.8,115.7,0.375,0.392,0.567,52.1,57.0,12.8,2026,0.0
Georgia,32,22,10,0.688,19.57,8.91,2874,2533,89.8,79.2,73.4,120.5,0.37,0.439,0.583,50.5,48.4,12.2,2026,-5.4
Wisconsin,34,24,10,0.706,19.52,12.44,2822,2581,83.0,75.9,68.8,118.8,0.319,0.526,0.582,50.5,57.3,11.1,2026,-2.1
North Carolina,32,24,8,0.75,19.39,10.92,2553,2282,79.8,71.3,68.8,116.0,0.374,0.423,0.572,52.6,57.0,12.2,2026,2.5
Ohio State,33,21,12,0.636,19.06,12.06,2633,2402,79.8,72.8,66.5,118.6,0.378,0.401,0.603,51.6,52.0,13.6,2026,1.0
Iowa,33,21,12,0.636,19.0,9.76,2482,2177,75.2,66.0,63.4,118.2,0.345,0.416,0.6,50.8,58.0,13.4,2026,7.8
UCLA,34,23,11,0.676,18.28,11.55,2643,2414,77.7,71.0,65.7,117.0,0.331,0.359,0.576,49.6,59.4,11.6,2026,2.8
Miami (FL),33,25,8,0.758,18.04,7.28,2704,2349,81.9,71.2,69.3,118.2,0.375,0.317,0.581,55.6,53.7,13.7,2026,2.6
NC State,33,20,13,0.606,18.02,10.83,2762,2525,83.7,76.5,69.5,119.0,0.352,0.439,0.59,49.3,54.8,11.5,2026,-2.7
Saint Mary's,32,27,5,0.844,17.87,5.54,2502,2066,78.2,64.6,66.5,117.6,0.362,0.362,0.578,58.1,58.1,13.8,2026,9.2
Utah State,34,28,6,0.824,17.36,6.51,2806,2392,82.5,70.4,68.5,120.0,0.378,0.412,0.599,51.3,60.5,13.3,2026,3.4
Southern Methodist,33,20,13,0.606,17.27,10.66,2779,2561,84.2,77.6,70.7,118.2,0.306,0.36,0.586,52.5,55.1,13.6,2026,-3.8
Saint Louis,33,28,5,0.848,17.27,1.52,2879,2294,87.2,69.5,72.0,121.1,0.341,0.454,0.626,55.2,60.0,15.2,2026,4.3
Auburn,33,17,16,0.515,17.02,13.69,2730,2620,82.7,79.4,69.2,118.6,0.447,0.392,0.568,52.4,46.2,12.3,2026,-5.6
Clemson,34,24,10,0.706,16.99,9.57,2521,2269,74.1,66.7,65.5,112.4,0.371,0.429,0.562,51.4,50.2,12.5,2026,7.1
Texas A&M,32,21,11,0.656,16.76,8.6,2807,2546,87.7,79.6,72.5,118.2,0.374,0.463,0.577,49.9,61.3,12.5,2026,-5.8
Indiana,32,18,14,0.563,16.7,10.7,2501,2309,78.2,72.2,66.6,116.0,0.35,0.505,0.598,50.0,62.5,13.5,2026,1.6
Villanova,32,24,8,0.75,16.3,9.93,2469,2265,77.2,70.8,66.4,114.8,0.313,0.457,0.562,49.8,56.8,12.9,2026,3.0
Texas,32,18,14,0.563,16.17,10.3,2681,2458,83.8,76.8,69.2,120.1,0.453,0.36,0.593,55.4,43.5,13.5,2026,-3.0
Santa Clara,34,26,8,0.765,15.88,6.06,2817,2463,82.9,72.4,69.7,118.9,0.252,0.451,0.57,51.8,55.2,13.0,2026,1.4
Texas Christian,33,22,11,0.667,15.75,9.51,2584,2378,78.3,72.1,69.7,111.1,0.387,0.369,0.546,51.9,57.6,13.2,2026,1.7
Cincinnati,33,18,15,0.545,15.5,9.95,2413,2230,73.1,67.6,69.2,105.3,0.294,0.438,0.531,51.6,63.7,14.6,2026,6.2
Baylor,32,16,16,0.5,15.33,11.78,2642,2469,82.6,77.2,70.0,117.9,0.349,0.389,0.579,53.4,53.9,13.9,2026,-3.4
Oklahoma,34,19,15,0.559,15.02,9.37,2813,2621,82.7,77.1,68.4,120.1,0.359,0.438,0.585,50.7,50.2,12.3,2026,-3.3
Washington,33,16,17,0.485,14.17,10.68,2545,2430,77.1,73.6,68.0,112.2,0.301,0.346,0.549,53.3,49.4,13.0,2026,0.2
San Diego State,33,22,11,0.667,13.62,8.12,2580,2342,78.2,71.0,69.5,110.4,0.383,0.332,0.568,51.0,54.2,14.9,2026,2.8
New Mexico,33,23,10,0.697,13.52,5.05,2658,2337,80.5,70.8,70.6,114.2,0.363,0.429,0.571,51.7,53.8,13.2,2026,3.0
Seton Hall,33,21,12,0.636,13.45,8.45,2321,2156,70.3,65.3,66.5,105.8,0.353,0.268,0.517,51.7,51.6,14.0,2026,8.5
UCF,32,21,11,0.656,13.3,10.8,2591,2511,81.0,78.5,70.6,113.7,0.308,0.344,0.56,52.6,53.6,13.4,2026,-4.7
South Florida,33,25,8,0.758,13.29,2.6,2895,2492,87.7,75.5,73.1,117.7,0.41,0.44,0.556,53.1,59.3,12.4,2026,-1.7
Virginia Tech,32,19,13,0.594,13.28,9.38,2521,2396,78.8,74.9,68.0,112.8,0.34,0.397,0.558,49.8,52.4,12.9,2026,-1.1
Virginia Commonwealth,34,27,7,0.794,13.19,3.11,2773,2430,81.6,71.5,69.4,117.6,0.437,0.438,0.582,51.7,52.7,13.1,2026,2.3
Missouri,32,20,12,0.625,13.08,8.77,2549,2411,79.7,75.3,68.4,115.6,0.425,0.36,0.582,52.6,50.6,15.3,2026,-1.5
West Virginia,32,18,14,0.563,12.8,8.37,2214,2072,69.2,64.8,64.0,106.9,0.355,0.429,0.54,51.0,53.2,15.1,2026,9.0
Louisiana State,32,15,17,0.469,12.69,9.75,2606,2512,81.4,78.5,68.6,115.5,0.409,0.345,0.573,51.6,52.5,13.4,2026,-4.7
Northwestern,34,15,19,0.441,12.61,11.43,2487,2447,73.1,72.0,65.3,111.6,0.339,0.34,0.555,46.8,65.8,11.5,2026,1.8
Wake Forest,33,17,16,0.515,12.57,10.79,2602,2543,78.8,77.1,69.5,112.2,0.351,0.437,0.567,48.5,53.2,13.5,2026,-3.3
Stanford,32,20,12,0.625,12.55,9.27,2431,2326,76.0,72.7,67.9,111.8,0.357,0.442,0.554,50.4,46.3,13.3,2026,1.1
Boise State,32,20,12,0.625,12.04,7.84,2502,2351,78.2,73.5,67.1,113.9,0.417,0.428,0.576,55.7,50.5,14.6,2026,0.3
Oklahoma State,33,19,14,0.576,11.93,10.57,2781,2736,84.3,82.9,74.0,112.6,0.394,0.359,0.563,50.6,51.0,13.8,2026,-9.1
California,32,21,11,0.656,11.67,7.61,2492,2344,77.9,73.2,69.4,111.3,0.375,0.425,0.565,48.7,52.8,13.0,2026,0.6
Florida State,33,18,15,0.545,11.66,9.24,2652,2572,80.4,77.9,71.8,111.9,0.347,0.506,0.555,48.0,52.5,13.1,2026,-4.1
Tulsa,33,26,7,0.788,11.14,0.78,2824,2409,85.6,73.0,68.8,122.9,0.405,0.463,0.608,53.8,55.4,12.9,2026,0.8
Mississippi,35,15,20,0.429,11.13,11.36,2656,2664,75.9,76.1,68.3,109.2,0.33,0.355,0.543,48.0,50.2,12.2,2026,-2.3
Grand Canyon,32,20,12,0.625,11.03,4.06,2420,2197,75.6,68.7,69.0,109.2,0.395,0.389,0.56,53.6,49.6,15.3,2026,5.1
Colorado,32,17,15,0.531,10.89,10.36,2559,2542,80.0,79.4,70.1,113.2,0.358,0.351,0.57,49.7,55.7,12.7,2026,-5.6
Providence,33,15,18,0.455,10.84,9.53,2815,2772,85.3,84.0,72.3,115.0,0.367,0.405,0.586,51.7,47.5,14.5,2026,-10.2
Arizona State,33,17,16,0.515,10.79,12.79,2519,2585,76.3,78.3,70.6,108.1,0.395,0.384,0.556,47.8,53.0,14.9,2026,-4.5
Southern California,32,18,14,0.563,10.58,11.16,2515,2494,78.6,77.9,71.0,108.5,0.441,0.336,0.551,51.5,57.2,14.9,2026,-4.1
Creighton,32,15,17,0.469,10.57,10.47,2404,2401,75.1,75.0,68.5,109.2,0.275,0.482,0.562,49.6,58.4,14.5,2026,-1.2
Butler,32,16,16,0.5,10.47,8.63,2540,2481,79.4,77.5,70.0,111.7,0.421,0.349,0.55,52.4,57.2,13.6,2026,-3.7
Minnesota,32,15,17,0.469,10.45,8.95,2241,2193,70.0,68.5,63.0,109.9,0.359,0.471,0.57,48.9,72.0,14.7,2026,5.3
Syracuse,32,15,17,0.469,10.28,9.53,2400,2376,75.0,74.2,67.8,108.5,0.351,0.372,0.548,48.0,47.1,13.9,2026,-0.4
Nevada,34,22,12,0.647,10.17,5.81,2582,2434,75.9,71.6,66.8,112.0,0.466,0.323,0.551,52.1,57.2,12.8,2026,2.2
Marquette,32,12,20,0.375,9.22,9.84,2405,2425,75.2,75.8,70.1,106.0,0.328,0.422,0.533,47.0,58.1,13.9,2026,-2.0
Georgetown,34,16,18,0.471,9.22,8.51,2503,2479,73.6,72.9,67.0,108.7,0.373,0.352,0.539,50.8,57.8,13.5,2026,0.9
Notre Dame,31,13,18,0.419,9.05,9.93,2308,2335,74.5,75.3,66.7,109.9,0.341,0.435,0.552,52.1,47.4,14.6,2026,-1.5
George Washington,33,18,15,0.545,9.05,2.24,2708,2433,82.1,73.7,70.3,116.2,0.35,0.466,0.578,54.2,55.4,15.2,2026,0.1
Akron,34,29,5,0.853,9.04,-3.33,3004,2499,88.4,73.5,71.8,123.1,0.277,0.451,0.612,53.5,57.5,13.2,2026,0.3
Belmont,32,26,6,0.813,8.95,-0.41,2684,2347,83.9,73.3,70.2,118.6,0.319,0.461,0.622,52.2,61.8,15.7,2026,0.5
Oregon,32,12,20,0.375,8.95,12.04,2267,2366,70.8,73.9,66.5,106.1,0.35,0.428,0.534,49.9,59.0,15.1,2026,-0.1
Dayton,34,23,11,0.676,8.85,4.37,2528,2376,74.4,69.9,68.1,108.0,0.471,0.415,0.567,49.3,59.9,15.4,2026,3.9
Wichita State,33,22,11,0.667,8.72,2.1,2562,2324,77.6,70.4,67.1,113.2,0.359,0.343,0.534,54.6,42.2,12.5,2026,3.4
Kansas State,32,12,20,0.375,8.58,10.86,2546,2619,79.6,81.8,73.8,107.8,0.269,0.409,0.557,47.7,57.7,15.3,2026,-8.0
Pittsburgh,33,13,20,0.394,8.58,9.88,2327,2370,70.5,71.8,64.5,108.4,0.304,0.426,0.535,51.9,52.3,14.6,2026,2.0
Colorado State,33,21,12,0.636,8.56,5.03,2510,2347,76.1,71.1,64.6,117.8,0.394,0.489,0.62,52.1,63.0,16.2,2026,2.7
Northern Iowa,35,23,12,0.657,8.49,1.49,2447,2144,69.9,61.3,63.7,109.1,0.256,0.399,0.568,49.2,57.4,13.2,2026,12.5
Xavier,33,15,18,0.455,7.87,10.15,2586,2661,78.4,80.6,71.2,109.2,0.281,0.406,0.547,47.6,62.2,12.3,2026,-6.8
McNeese,33,28,5,0.848,7.74,-2.06,2641,2193,80.0,66.5,67.3,117.6,0.381,0.347,0.563,51.1,50.3,11.9,2026,7.3
South Carolina,32,13,19,0.406,7.62,9.16,2398,2447,74.9,76.5,68.0,109.0,0.367,0.444,0.55,47.6,52.9,12.7,2026,-2.7
Wyoming,32,18,14,0.563,7.55,4.07,2467,2335,77.1,73.0,67.6,114.1,0.358,0.423,0.561,53.3,52.5,13.8,2026,0.8
DePaul,32,16,16,0.5,7.45,6.76,2248,2226,70.2,69.6,67.7,103.7,0.353,0.39,0.531,49.2,60.9,15.4,2026,4.2
Mississippi State,32,13,19,0.406,7.27,11.46,2484,2618,77.6,81.8,71.5,107.4,0.307,0.401,0.538,49.8,45.1,13.9,2026,-8.0
High Point,34,30,4,0.882,6.76,-7.89,3059,2389,90.0,70.3,71.8,124.5,0.433,0.42,0.603,51.5,53.6,11.1,2026,3.5
George Mason,32,23,9,0.719,6.45,1.19,2347,2160,73.3,67.5,64.9,113.0,0.421,0.351,0.573,52.9,50.1,14.2,2026,6.3
Illinois State,32,20,12,0.625,6.3,0.85,2404,2190,75.1,68.4,67.4,111.0,0.314,0.423,0.567,52.5,50.2,14.6,2026,5.4
Utah,32,10,22,0.313,6.19,10.94,2379,2531,74.3,79.1,68.0,108.8,0.317,0.375,0.554,49.0,51.7,14.6,2026,-5.3
Yale,30,24,6,0.8,6.13,-2.51,2453,2129,81.8,71.0,66.1,122.2,0.343,0.363,0.601,53.3,56.5,12.1,2026,2.8
Nevada-Las Vegas,33,17,16,0.515,5.63,6.1,2620,2593,79.4,78.6,70.7,111.1,0.409,0.358,0.563,50.2,51.4,14.6,2026,-4.8
Miami (OH),32,31,1,0.969,5.37,-5.49,2902,2409,90.7,75.3,72.1,123.9,0.396,0.447,0.64,51.4,51.5,12.9,2026,-1.5
Utah Valley,33,25,8,0.758,5.36,-1.77,2646,2259,80.2,68.5,69.9,113.4,0.362,0.333,0.585,53.8,62.6,17.0,2026,5.3
Rutgers,33,14,19,0.424,4.91,9.46,2329,2479,70.6,75.1,66.5,104.9,0.361,0.346,0.52,47.6,50.6,13.0,2026,-1.3
Hawaii,32,24,8,0.75,4.85,-3.59,2548,2231,79.6,69.7,72.1,109.6,0.429,0.401,0.566,54.5,51.1,16.1,2026,4.1
Maryland,33,12,21,0.364,4.8,11.68,2300,2527,69.7,76.6,66.7,104.1,0.364,0.469,0.522,51.5,45.2,15.7,2026,-2.8
Hofstra,34,24,10,0.706,4.48,-2.46,2571,2246,75.6,66.1,65.6,114.4,0.319,0.437,0.557,53.7,49.0,13.5,2026,7.7
Seattle,33,20,13,0.606,4.42,2.71,2373,2211,71.9,67.0,69.0,103.7,0.349,0.383,0.536,47.9,52.8,14.8,2026,6.8
San Francisco,33,17,16,0.515,4.39,4.23,2464,2414,74.7,73.2,67.1,110.4,0.394,0.459,0.553,51.8,56.2,13.9,2026,0.6
Pacific,33,18,15,0.545,4.34,2.83,2399,2271,72.7,68.8,65.9,109.9,0.298,0.355,0.563,56.3,58.0,16.8,2026,5.0
Davidson,33,20,13,0.606,4.27,2.76,2367,2225,71.7,67.4,64.5,109.9,0.325,0.442,0.556,49.7,53.9,13.8,2026,6.4
Stephen F. Austin,33,28,5,0.848,4.06,-4.62,2520,2176,76.4,65.9,66.7,114.6,0.294,0.397,0.545,53.0,49.6,11.6,2026,7.9
Penn State,32,12,20,0.375,3.98,9.64,2358,2539,73.7,79.3,67.5,109.2,0.338,0.381,0.566,46.7,48.3,13.9,2026,-5.5
Memphis,32,13,19,0.406,3.95,5.42,2407,2454,75.2,76.7,71.4,104.6,0.347,0.337,0.526,49.8,49.8,16.0,2026,-2.9
Murray State,32,20,12,0.625,3.9,0.49,2667,2558,83.3,79.9,72.3,115.3,0.391,0.448,0.578,51.0,49.3,14.0,2026,-6.1
Bradley,33,21,12,0.636,3.83,0.54,2560,2422,77.6,73.4,68.4,110.5,0.369,0.406,0.55,48.8,50.7,12.1,2026,0.4
Illinois-Chicago,34,19,15,0.559,3.81,0.46,2567,2379,75.5,70.0,67.2,110.7,0.363,0.326,0.546,52.8,54.1,14.8,2026,3.8
Florida Atlantic,33,18,15,0.545,3.77,1.93,2596,2453,78.7,74.3,70.4,110.5,0.33,0.386,0.555,52.8,46.8,14.8,2026,-0.5
UC Irvine,34,23,11,0.676,3.65,-1.42,2632,2327,77.4,68.4,71.4,107.2,0.352,0.277,0.543,52.4,56.7,15.1,2026,5.4
Sam Houston,33,22,11,0.667,3.57,-0.43,2714,2447,82.2,74.2,71.1,115.7,0.343,0.364,0.563,54.5,52.6,13.9,2026,-0.4
UAB,32,20,12,0.625,3.56,-0.24,2535,2361,79.2,73.8,70.8,110.5,0.363,0.305,0.524,52.4,50.2,10.5,2026,0.0
Fresno State,32,13,19,0.406,3.5,4.66,2331,2330,72.8,72.8,69.4,104.9,0.343,0.407,0.549,49.5,50.3,16.0,2026,1.0
Washington State,32,12,20,0.375,3.49,5.1,2435,2480,76.1,77.5,69.2,110.0,0.307,0.448,0.579,51.5,51.8,16.5,2026,-3.7
Boston College,31,11,20,0.355,3.39,6.65,2090,2191,67.4,70.7,66.4,100.0,0.324,0.424,0.499,49.4,47.4,13.3,2026,3.1
Duquesne,33,18,15,0.545,3.38,2.34,2584,2481,78.3,75.2,69.7,110.6,0.378,0.438,0.566,50.9,56.2,15.3,2026,-1.4
St. Thomas,33,24,9,0.727,3.27,-5.3,2728,2366,82.7,71.7,70.0,118.1,0.348,0.461,0.611,49.7,57.8,12.2,2026,2.1
Georgia Tech,31,11,20,0.355,3.1,6.74,2287,2400,73.8,77.4,71.6,102.6,0.333,0.332,0.534,50.3,59.9,16.2,2026,-3.6
Southern Illinois,32,16,16,0.5,3.09,0.86,2336,2226,73.0,69.6,69.8,103.4,0.315,0.296,0.522,52.2,49.2,14.7,2026,4.2
Saint Joseph's,33,22,11,0.667,2.65,0.98,2419,2306,73.3,69.9,68.3,106.9,0.308,0.449,0.535,52.0,60.9,14.6,2026,3.9
California Baptist,33,25,8,0.758,2.52,-2.93,2410,2230,73.0,67.6,67.4,107.1,0.361,0.321,0.526,55.1,40.4,15.1,2026,6.2
UNC Wilmington,32,26,6,0.813,2.5,-5.04,2465,2166,77.0,67.7,67.0,114.9,0.417,0.382,0.548,54.8,51.8,12.5,2026,6.1
North Dakota State,34,27,7,0.794,2.5,-5.79,2745,2366,80.7,69.6,68.5,116.1,0.308,0.419,0.573,53.5,53.9,13.2,2026,4.2
Liberty,32,25,7,0.781,2.47,-1.57,2501,2253,78.2,70.4,65.0,119.4,0.308,0.492,0.628,46.6,61.8,12.4,2026,3.4
Rhode Island,32,16,16,0.5,2.43,0.74,2236,2182,69.9,68.2,66.0,105.0,0.384,0.435,0.541,49.2,47.9,16.5,2026,5.6
St. Bonaventure,34,17,17,0.5,2.4,1.67,2596,2532,76.4,74.5,67.4,112.4,0.297,0.315,0.558,52.4,55.9,14.3,2026,-0.7
UC San Diego,34,23,11,0.676,2.32,-1.68,2573,2390,75.7,70.3,69.8,108.4,0.323,0.427,0.555,50.9,55.7,14.4,2026,3.5
Richmond,32,15,17,0.469,2.26,0.29,2455,2366,76.7,73.9,68.6,111.3,0.367,0.428,0.565,47.7,54.7,12.5,2026,-0.1
North Texas,33,19,14,0.576,2.08,1.14,2341,2225,70.9,67.4,66.5,104.2,0.399,0.325,0.515,50.0,51.1,14.2,2026,6.4
UC Santa Barbara,32,18,14,0.563,1.15,-1.82,2483,2328,77.6,72.8,67.5,113.2,0.376,0.432,0.587,53.7,54.2,16.3,2026,1.0
