Region,Seed,Team,FirstRoundOpponent,IsFirstFour,Games,Wins,Losses,WinPct,SRS,SOS,PtsFor,PtsAgainst,PPG,OppPPG,Pace,ORtg,FTRate,ThreePARate,TrueShooting,ReboundPct,AssistPct,TurnoverPct,Season,DefProxy,NearestVenueMiles,BestAdvantageScore,NearestVenueCity,Last10Wins,Last10Losses,WinStreak,Last10MarginAvg,MomentumScore,HealthScore,InjuredCount,KeyPlayersOut
East,1,Duke,Siena,False,34,32,2,0.941,31.55,12.41,2798,2147,82.3,63.1,67.1,122.6,0.378,0.444,0.597,57.8,59.2,13.3,2026,10.7,119.2,0.8199,Charlotte,10.0,0.0,11,18.6,0.9803,1.0,0,0
East,2,Connecticut,Furman,False,34,29,5,0.853,22.92,10.53,2635,2214,77.5,65.1,66.0,116.5,0.3,0.403,0.578,54.2,65.0,14.3,2026,8.7,43.0,0.9308,Providence,7.0,3.0,-1,6.8,0.7076,1.0,0,0
East,3,Michigan State,North Dakota State,False,32,25,7,0.781,23.44,12.91,2526,2189,78.9,68.4,66.8,117.3,0.362,0.364,0.575,58.5,67.0,14.4,2026,5.4,165.6,0.7588,Cleveland,6.0,4.0,-2,1.3,0.5839,1.0,0,0
East,4,Kansas,California Baptist,False,33,23,10,0.697,21.1,14.86,2496,2290,75.6,69.4,68.2,110.0,0.326,0.357,0.555,51.5,53.3,13.5,2026,4.4,142.2,0.789,Wichita,5.0,5.0,-1,-3.6,0.4623,1.0,0,0
East,5,St. John's (NY),Northern Iowa,False,34,28,6,0.824,22.42,10.83,2773,2379,81.6,70.0,71.0,114.5,0.419,0.338,0.552,52.9,58.2,12.4,2026,3.8,133.2,0.801,Albany,9.0,1.0,6,9.8,0.8707,1.0,0,0
East,6,Louisville,South Florida,False,33,23,10,0.697,23.41,10.83,2797,2382,84.8,72.2,71.0,119.4,0.335,0.528,0.599,53.7,59.5,14.1,2026,1.6,69.3,0.8909,Lexington,6.0,4.0,-1,6.8,0.6376,1.0,0,0
East,7,UCLA,UCF,False,34,23,11,0.676,18.28,11.55,2643,2414,77.7,71.0,65.7,117.0,0.331,0.359,0.576,49.6,59.4,11.6,2026,2.8,940.8,0.2085,Spokane,6.0,4.0,-1,1.3,0.5839,1.0,0,0
East,8,Ohio State,TCU,False,33,21,12,0.636,19.06,12.06,2633,2402,79.8,72.8,66.5,118.6,0.378,0.401,0.603,51.6,52.0,13.6,2026,1.0,124.6,0.8124,Cleveland,6.0,4.0,-1,4.9,0.6205,1.0,0,0
East,9,TCU,Ohio State,False,33,22,11,0.667,15.75,9.51,2584,2378,78.3,72.1,69.7,111.1,0.387,0.369,0.546,51.9,57.6,13.2,2026,1.7,,,,8.0,2.0,-1,4.6,0.7576,1.0,0,0
East,10,UCF,UCLA,False,32,21,11,0.656,13.3,10.8,2591,2511,81.0,78.5,70.6,113.7,0.308,0.344,0.56,52.6,53.6,13.4,2026,-4.7,458.3,0.4659,Charlotte,4.0,6.0,-1,-4.5,0.3834,1.0,0,0
East,11,South Florida,Louisville,False,33,25,8,0.758,13.29,2.6,2895,2492,87.7,75.5,73.1,117.7,0.41,0.44,0.556,53.1,59.3,12.4,2026,-1.7,503.1,0.4324,Charlotte,10.0,0.0,11,15.1,0.9689,1.0,0,0
East,12,Northern Iowa,St. John's (NY),False,35,23,12,0.657,8.49,1.49,2447,2144,69.9,61.3,63.7,109.1,0.256,0.399,0.568,49.2,57.4,13.2,2026,12.5,379.1,0.5316,Indianapolis,6.0,4.0,-1,3.7,0.6087,1.0,0,0
