Team,VenueName,City,State,Round,DistanceMiles,AdvantageScore
Incarnate Word,Alamodome,San Antonio,TX,Final Four,3.5,0.9941
UTSA,Alamodome,San Antonio,TX,Final Four,14.1,0.9768
Texas State,Alamodome,San Antonio,TX,Final Four,46.1,0.926
Texas,Alamodome,San Antonio,TX,Final Four,74.7,0.8829
Texas A&M,Alamodome,San Antonio,TX,Final Four,151.7,0.7766
Prairie View A&M,Alamodome,San Antonio,TX,Final Four,156.7,0.7701
Baylor,Alamodome,San Antonio,TX,Final Four,168.4,0.7553
Houston Christian,Alamodome,San Antonio,TX,Final Four,179.3,0.7417
Rice,Alamodome,San Antonio,TX,Final Four,186.0,0.7335
Texas Southern,Alamodome,San Antonio,TX,Final Four,188.7,0.7301
Houston,Alamodome,San Antonio,TX,Final Four,189.6,0.729
Tarleton State,Alamodome,San Antonio,TX,Final Four,193.8,0.724
Sam Houston,Alamodome,San Antonio,TX,Final Four,197.0,0.7201
Texas-Rio Grande Valley,Alamodome,San Antonio,TX,Final Four,215.8,0.6979
Abilene Christian,Alamodome,San Antonio,TX,Final Four,223.0,0.6896
Texas Christian,Alamodome,San Antonio,TX,Final Four,236.7,0.674
UT Arlington,Alamodome,San Antonio,TX,Final Four,242.6,0.6674
Southern Methodist,Alamodome,San Antonio,TX,Final Four,257.0,0.6516
Lamar,Alamodome,San Antonio,TX,Final Four,267.7,0.64
Stephen F. Austin,Alamodome,San Antonio,TX,Final Four,274.5,0.6329
East Texas A&M,Alamodome,San Antonio,TX,Final Four,304.2,0.6023
McNeese,Alamodome,San Antonio,TX,Final Four,320.2,0.5864
Texas Tech,Alamodome,San Antonio,TX,Final Four,351.7,0.5564
Northwestern State,Alamodome,San Antonio,TX,Final Four,358.2,0.5505
Grambling,Alamodome,San Antonio,TX,Final Four,402.8,0.511
Oklahoma,Alamodome,San Antonio,TX,Final Four,403.7,0.5103
Louisiana Tech,Alamodome,San Antonio,TX,Final Four,406.7,0.5077
Louisiana-Monroe,Alamodome,San Antonio,TX,Final Four,436.5,0.4831
Louisiana State,Alamodome,San Antonio,TX,Final Four,442.1,0.4786
Louisiana,Alamodome,San Antonio,TX,Final Four,442.1,0.4786
Nicholls State,Alamodome,San Antonio,TX,Final Four,461.8,0.4631
Alcorn State,Alamodome,San Antonio,TX,Final Four,468.1,0.4583
Oklahoma State,Alamodome,San Antonio,TX,Final Four,470.8,0.4563
Oral Roberts,Alamodome,San Antonio,TX,Final Four,481.2,0.4485
Southeastern Louisiana,Alamodome,San Antonio,TX,Final Four,485.4,0.4453
Tulsa,Alamodome,San Antonio,TX,Final Four,487.9,0.4434
Tulane,Alamodome,San Antonio,TX,Final Four,503.1,0.4324
North Texas,Alamodome,San Antonio,TX,Final Four,503.8,0.4318
Arkansas-Pine Bluff,Alamodome,San Antonio,TX,Final Four,504.1,0.4316
UTEP,Alamodome,San Antonio,TX,Final Four,504.2,0.4316
New Orleans,Alamodome,San Antonio,TX,Final Four,506.5,0.4299
Little Rock,Alamodome,San Antonio,TX,Final Four,513.2,0.4251
Arkansas,Alamodome,San Antonio,TX,Final Four,524.9,0.417
